Question,Answer,Tags,Type
我国境内已确认的最早古人类是？,元谋人，距今约170万年。,"早期人类, 元谋人",Standard
元谋人遗址中发现了哪些重要遗存？,两颗门齿化石、粗糙石器、炭屑和烧骨。,"元谋人, 考古发现",Standard
化石是如何形成的？,古代生物的遗骸或遗迹埋藏在地层中，经过漫长的时间，被周围沉积物的矿物质渗入，石化变成石头。,"化石, 考古学",Standard
北京人生活在距今多少年？,约70万—20万年前。,"北京人, 年代",Standard
北京人遗址最早于哪一年被发现？,1921年。,"北京人, 考古发现",Standard
谁发现了第一个北京人头盖骨化石？,中国青年学者裴文中，于1929年发现。,"北京人, 裴文中",Standard
北京人的头部特征有哪些？,前额低平，眉骨粗大，颧骨突出，鼻骨扁平，嘴部前伸，脑容量比现代人小。,"北京人, 体质特征",Standard
北京人制作石器的技术属于什么时代？,旧石器时代。,"北京人, 石器时代",Standard
北京人已经掌握了哪种重要技能？,使用火，并会长时间保存火种。,"北京人, 用火",Standard
学会用火在人类进化史上的意义是什么？,是人类进化史上的里程碑，改善了生存条件。,"人类进化, 用火",Standard
周口店北京人遗址在世界考古学中的地位如何？,是迄今所知世界上内涵最丰富、材料最齐全的直立人遗址之一。,"北京人遗址, 考古意义",Standard
山顶洞人生活在距今约多少年？,约3万年前。,"山顶洞人, 年代",Standard
山顶洞人的体质特征与现代人相比如何？,模样和现代人基本相同，脑容量及头骨形态与现代人类接近。,"山顶洞人, 体质特征",Standard
在山顶洞人遗址中发现的穿孔骨针有何重要意义？,是中国发现的最早的缝纫工具，表明山顶洞人已掌握挖孔技术和磨制技术。,"山顶洞人, 考古发现",Standard
根据人类演化历程，直立人出现在距今约多少年？,距今300万年左右。,"人类演化, 直立人",Standard
早期智人出现在距今约多少年？,距今约20万年。,"人类演化, 早期智人",Standard
现代人（晚期智人）出现在距今约多少年？,距今约5万年。,"人类演化, 现代人",Standard
科学家主要通过什么来研究古人类生存时期的环境？,主要根据出土的动物和植物化石。,"考古方法, 环境研究",Standard
北京人的生活方式是怎样的？,结成群体生活在一起，共同进行获取食物的劳动，使用工具猎取动物、采集植物果实。,"北京人, 社会生活",Standard
我国最具代表性的早期人类有哪些？（至少列出三个）,元谋人、北京人、山顶洞人。,"早期人类, 代表",Standard
山顶洞人的脑容量和头骨形态与现代人类相比如何？,山顶洞人的脑容量及头骨形态与现代人类接近，已经具有现代人类的特征。,"山顶洞人, 人类进化, 旧石器时代",Standard
在中国发现的最早的缝纫工具是什么？它出土于哪个遗址？,穿孔骨针，出土于山顶洞人遗址。,"山顶洞人, 考古发现, 工具",Standard
穿孔骨针的发现表明山顶洞人已经掌握了哪两项关键技术？,挖孔技术和磨制技术。,"山顶洞人, 技术",Standard
山顶洞人遗址中出土的兽牙、石珠等物品说明了什么？,表明山顶洞人已经有了审美的观念。,"山顶洞人, 社会观念, 装饰品",Standard
山顶洞人主要使用什么类型的石器？他们是否掌握了更先进的技术？,依然使用打制石器，但已经掌握磨光和钻孔技术。,"山顶洞人, 石器, 技术",Standard
山顶洞人已经掌握了哪种重要的生存技能？,人工取火。,"山顶洞人, 生存技能",Standard
山顶洞人的生活方式是怎样的？（多选）,靠采集、狩猎为生，还会捕鱼，会缝制衣服。他们能走到很远的地方同别的原始人群交换生活用品。,"山顶洞人, 生活方式, 经济",Multiple Choice
山顶洞人的社会组织形式是什么？,过着集体生活。他们居住在一起，使用公有的工具，共同劳动，共同分配食物，没有贫富贵贱的差别。,"山顶洞人, 社会组织",Standard
碳-14年代测定法的基本原理是什么？,生物体死亡后，其体内的碳-14含量会以每5730年减少一半的速度衰减。通过测定标本现存的碳-14水平，并与原有水平比对，就可以推算其死亡年代。,"考古学, 年代测定, 碳-14",Standard
碳-14年代测定法的主要局限性是什么？,它只能对那些5万年以内的生物体进行有效测定。,"考古学, 年代测定, 碳-14",Standard
中华大地大约在何时进入新石器时代？新石器时代的主要标志是什么？,约10 000年前。主要标志是：开始定居生活，制作陶器和磨制石器，农业、畜牧业和手工业逐渐产生和发展。,"新石器时代, 中国历史, 原始社会",Standard
中国是世界上最早栽培哪三种农作物的国家？它们分别主要栽培于哪些地区？,稻、粟和黍。长江中下游栽培稻，北方地区栽培粟和黍。,"原始农业, 农作物, 中国贡献",Standard
